[ 2017-03-08T11:07:17+08:00 ] /JSJD/admin.php/Stu/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003374s ]
[ 2017-03-08T11:07:17+08:00 ] /JSJD/admin.php/Stu/index | INFO: Tag[ view_end ] --START--
[ 2017-03-08T11:07:17+08:00 ] /JSJD/admin.php/Stu/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000826s ]
[ 2017-03-08T11:07:17+08:00 ] /JSJD/admin.php/Stu/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000869s ]
[ 2017-03-08T11:07:18+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Tag[ route_check ] --START--
[ 2017-03-08T11:07:18+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Run CheckRoute Behavior [ RunTime:0.000932s ]
[ 2017-03-08T11:07:18+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001022s ]
[ 2017-03-08T11:07:18+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Tag[ app_begin ] --START--
[ 2017-03-08T11:07:18+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000600s ]
[ 2017-03-08T11:07:18+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000648s ]
[ 2017-03-08T11:07:18+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.007219s ]
[ 2017-03-08T11:07:18+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Tag[ view_template ] --START--
